item	onset	offset
k	108.256	108.333
s	108.333	108.408
v	108.408	108.489
o	108.489	108.691
χ	108.691	108.758
ə	108.758	108.799
l	108.799	108.8421
ɑ	109.605	109.674
x	109.674	109.748
t	109.748	109.837
ə	109.837	109.858
d	109.858	109.922
i	109.922	110.029
h	110.029	110.093
ø	110.093	110.275
v	110.275	110.347
ə	110.347	110.381
l	110.381	110.447
ɪ	110.447	110.508
χ	110.508	110.559
t	110.559	110.624
w	110.624	110.648
ɑ	110.648	110.671
r	110.671	110.696
s	110.696	110.795
x	110.795	110.852
ɛi	110.852	110.902
n	110.902	110.957
l	110.957	111.001
ə	111.001	111.032
k	111.032	111.105
ə	111.105	111.128
n	111.128	111.192
h	111.192	111.234
e	111.234	111.442
l	111.442	111.484
ɛ	111.484	111.589
r	111.589	111.652
χ	111.652	111.715
m	111.715	111.777
oj	111.777	111.92
s	111.92	112.093
l	112.093	112.155
ɔ	112.155	112.265
t	112.389	112.4901
ɛ	113.34	113.394
n	113.394	113.446
d	113.446	113.476
ə	113.476	113.511
χ	113.511	113.657
r	113.657	113.694
a	113.694	113.899
f	113.899	113.993
ɛ	113.993	114.045
n	114.045	114.089
χ	114.089	114.164
r	114.164	114.196
ɑ	114.196	114.254
v	114.254	114.371
ɪ	114.371	114.478
n	114.478	114.553
z	114.553	114.617
ɛi	114.617	114.776
r	114.776	114.911
ø	114.911	115.196
z	115.196	115.292
ə	115.292	115.339
b	115.339	115.474
l	115.474	115.598
ɛi	115.598	115.8385
d	115.8385	115.9106
ɑ	115.9106	115.978
t	115.978	116.08
w	116.08	116.113
ə	116.113	116.153
k	116.153	116.29
o	116.29	116.493
m	116.493	116.558
ə	116.558	116.62
p	150.359	150.442
i	150.442	150.52
p	150.52	150.622
i	150.622	150.7176
z	151.631	151.708
ɔ	151.708	151.761
n	151.761	151.798
d	151.798	151.829
ə	151.829	151.859
p	151.901	151.979
a	151.979	152.092
r	152.092	152.127
t	152.127	152.2
z	152.2	152.241
ʏ	152.241	152.278
l	152.278	152.308
ə	152.308	152.344
w	152.344	152.403
ə	152.403	152.429
n	152.429	152.477
i	152.477	152.539
t	152.539	152.624
v	152.624	152.7
ɛ	152.7	152.779
r	152.779	152.84
k	152.84	152.96
o	152.96	153.133
m	153.133	153.229
ə	153.229	153.274
w	153.409	153.46
ə	153.46	153.479
z	153.479	153.534
ʏ	153.534	153.599
l	153.599	153.67
m	153.67	153.715
a	153.715	153.78
ɑ	153.78	153.87
f	153.87	153.954
w	153.954	153.98
ɑ	153.98	154.038
t	154.094	154.13
ɛ	154.13	154.191
b	154.191	154.265
k	154.265	154.322
ə	154.346	154.378
z	154.378	154.458
ɛ	154.458	154.577
χ	154.577	154.632
t	154.632	154.675
d	155.133	155.175
ɛ	155.175	155.256
ŋ	155.256	155.329
k	155.329	155.384
j	155.384	155.411
ə	155.411	155.44
d	155.44	155.482
ɑ	155.482	155.55
t	155.55	155.656
w	155.656	155.695
ə	155.695	155.749
w	155.749	155.809
ɪ	155.809	155.883
c	155.883	156.004
